record_date,month,weekday,holiday,temp_high,temp_low,weather,wind,power_consumption
2016/6/9,6,4,0,27,19,-1,1,3548896
2016/7/1,7,5,1,26,23,-1,1,4335777
2016/7/10,7,7,0,26,23,-1,1,4074906
2016/7/11,7,1,1,30,23,-1,1,4441372
2016/7/12,7,2,1,32,25,-1,1,4525375
2016/7/13,7,3,1,32,26,-1,1,4481143
2016/7/14,7,4,1,31,23,-1,1,4538956
2016/7/15,7,5,1,31,22,-1,1,4634383
2016/7/16,7,6,0,29,22,0,1,4220289
2016/7/17,7,7,0,31,24,1,1,4107215
2016/7/18,7,1,1,32,25,-1,1,4550893
2016/7/19,7,2,1,31,26,-1,1,4677268
2016/7/2,7,6,0,27,23,-1,1,4079363
2016/7/20,7,3,1,35,27,0,1,4772549
2016/7/21,7,4,1,36,27,-1,1,4750962
2016/7/22,7,5,1,34,27,-1,1,4754751
2016/7/23,7,6,0,37,27,1,1,4637393
2016/7/24,7,7,0,36,27,0,1,4311960
2016/7/25,7,1,1,36,27,1,1,4809396
2016/7/26,7,2,1,38,28,-1,1,4852473
2016/7/27,7,3,1,35,28,-1,1,4737322
2016/7/28,7,4,1,37,28,-1,1,4790575
2016/7/29,7,5,1,37,28,-1,1,4788141
2016/7/3,7,7,0,25,22,-1,1,3840101
2016/7/30,7,6,0,36,26,-1,1,4514944
2016/7/31,7,7,0,35,26,1,1,4259280
2016/7/4,7,1,1,27,23,-1,1,4071327
2016/7/5,7,2,1,26,23,-1,1,4161432
2016/7/6,7,3,1,29,24,-1,1,4104851
2016/7/7,7,4,1,31,23,-1,1,4498741
2016/7/8,7,5,1,31,23,-1,1,4554365
2016/7/9,7,6,0,30,24,-1,1,4333160
2016/8/1,8,1,1,34,26,0,1,4627029
2016/8/10,8,3,1,33,27,-1,1,3994246
2016/8/11,8,4,1,35,26,0,1,4061157
2016/8/12,8,5,1,35,27,-1,1,4127489
2016/8/13,8,6,0,36,27,0,1,4043540
2016/8/14,8,7,0,35,26,0,1,3744055
2016/8/15,8,1,1,35,26,0,1,4222039
2016/8/16,8,2,1,35,26,0,1,4603302
2016/8/17,8,3,1,35,26,0,1,4200728
2016/8/18,8,4,1,35,27,0,1,4454857
2016/8/19,8,5,1,37,28,1,1,4517220
2016/8/2,8,2,1,34,27,-1,1,4618467
2016/8/20,8,6,0,34,27,-1,1,4141047
2016/8/21,8,7,0,33,27,-1,1,3873626
2016/8/22,8,1,1,34,26,0,1,4285132
2016/8/23,8,2,1,34,24,0,1,4200526
2016/8/24,8,3,1,33,25,1,1,4151262
2016/8/25,8,4,1,34,25,0,1,4194893
2016/8/26,8,5,1,30,23,-1,1,4018774
2016/8/27,8,6,0,28,22,0,1,3610828
2016/8/28,8,7,0,30,19,1,1,3446470
2016/8/29,8,1,1,31,20,1,1,3681879
2016/8/3,8,3,1,30,26,-1,1,4490739
2016/8/30,8,2,1,30,21,1,1,3607667
2016/8/31,8,3,1,31,23,0,1,3664003
2016/8/4,8,4,1,31,25,-1,1,4367727
2016/8/5,8,5,1,33,26,-1,1,4253298
2016/8/6,8,6,0,32,26,-1,1,4023140
2016/8/7,8,7,0,34,26,-1,1,3663205
2016/8/8,8,1,1,33,26,-1,1,3689233
2016/8/9,8,2,1,34,27,-1,1,3679212
